locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
"Sigtuna, cemetery 4 (Götes mack)",59.61731,17.72361,2,726,1074,900,726-1074 BP,"1240k,ho",vik_gtm021.SG;vik_gtm127.SG
"Skomsta (Uppsala län, Uppsala)",59.86,17.65,2,842,958,900,842-958 BP,"1240k,ho",VK517.SG;VK527.SG
"Ängamöllan (Skåne län, Kristianstad)",55.997,14.104,2,3224,3436,3330,3224-3436 BP,"1240k,ho",RISE207.SG;RISE210.SG
"Bredgården (Västra Götalands län, Ulricehamn)",57.742,13.403,1,9498,9798,9648,9498-9798 BP,"1240k,ho",NEO27.SG
"Dösemarken (Skåne län, Malmö)",55.564,12.946,1,4323,4459,4391,4323-4459 BP,"1240k,ho",NEO44.SG
"Eksta Kvie (Gotlands län, Gotland)",57.47,18.47,1,881,1169,1025,881-1169 BP,"1240k,ho",kvi001.SG
"Enbacken (Örebro län, Örebro)",59.37,15.22,1,839,1011,925,839-1011 BP,"1240k,ho",enb508.SG
"Evensås (Västra Götalands län, Uddevalla)",58.246,11.492,1,5938,6086,6012,5938-6086 BP,"1240k,ho",NEO260.SG
"Fredriksberg (Skåne län, Malmö)",55.557,13.059,1,3799,3991,3895,3799-3991 BP,"1240k,ho",RISE97.SG
"Frälsegården (Västra Götalands län, Falköping)",58.164,13.454,1,4873,4957,4915,4873-4957 BP,"1240k,ho",NEO259.SG
"Frösön (Jämtlands län, Östersund)",63.19,14.53,1,784,1016,900,784-1016 BP,"1240k,ho",frc007.SG
"Fullero (Uppsala län, Uppsala)",59.94,17.66,1,1555,1719,1637,1555-1719 BP,"1240k,ho",ful001.SG
"Gammelbyn Börstil (Uppsala län, Östhammar)",60.24,18.34,1,839,1011,925,839-1011 BP,"1240k,ho",gam872.SG
"Gannor (Gotlands län, Gotland)",57.3,18.6,1,1350,1350,1350,1350 BP,"1240k,ho",lau001.SG
"Hablingbo Havor (Gotlands län, Gotland)",57.47,18.47,1,842,958,900,842-958 BP,"1240k,ho",hav001.SG
"Hanaskede (Västra Götalands län, Skara)",58.391,13.558,1,9650,10010,9830,9650-10010 BP,"1240k,ho",NEO18.SG
"Hälsingland (Gävleborgs län, Hudiksvall)",61.658,17.004,1,4056,4556,4306,4056-4556 BP,"1240k,ho",Olsund.AG
"Kastanjegården (Skåne län, Malmö)",55.555,13.023,1,4324,4404,4364,4324-4404 BP,"1240k,ho",NEO51.SG
"L Beddinge 56 (Skåne län, Trelleborg)",55.381,13.445,1,3958,4206,4082,3958-4206 BP,"1240k,ho",RISE98.SG
"Lovö (Stockholms län, Ekerö)",59.33,17.84,1,1427,1479,1453,1427-1479 BP,"1240k,ho",lov001.SG
"Norrsunda (Stockholms län, Sigtuna)",59.59,17.89,1,742,970,856,742-970 BP,"1240k,ho",vls696.SG
Oland,56.8792364,16.7212765,1,826,1174,1000,826-1174 BP,"1240k,ho",VK347_V348_merge.SG
Oland,56.7207075,16.7115646,1,826,1174,1000,826-1174 BP,"1240k,ho",VK352.SG
"Oland (Kalmar län, Mörbylånga)",56.5765236,16.4602296,1,918,1186,1052,918-1186 BP,"1240k,ho",VK333.SG
