artifact_id,artifact_kind,label,source_url,local_path,fetch_status,remote_note,project_accessions,paper_doi,content_type,byte_size,storage_path,storage_byte_size,content_encoding
10.1016-j.cell.2019.03.049:crossref.json,paper_metadata_json,crossref metadata,https://api.crossref.org/works/10.1016/j.cell.2019.03.049,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/crossref.json,archived,Crossref metadata snapshot preserves DOI and title even when publisher downloads are blocked.,PRJEB31613,10.1016/j.cell.2019.03.049,application/json,47291,,,
PRJEB31613:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB31613&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB31613/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB31613,10.1016/j.cell.2019.03.049,text/plain,185063,adna/governance/source_library/projects/PRJEB31613/archive_metadata.html.gz,23441,gzip
10.1016-j.isci.2025.113771:1-s2.0-S2589004225020322-mmc1.pdf,supplementary_pdf,curated supplementary asset 1-s2.0-S2589004225020322-mmc1.pdf,https://linkinghub.elsevier.com/retrieve/pii/S2589004225020322,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc1.pdf,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB90261,10.1016/j.isci.2025.113771,application/pdf,64376,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc1.pdf,,
10.1016-j.isci.2025.113771:1-s2.0-S2589004225020322-mmc2.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S2589004225020322-mmc2.xlsx,https://linkinghub.elsevier.com/retrieve/pii/S2589004225020322,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc2.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB90261,10.1016/j.isci.2025.113771,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,32219,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc2.xlsx,,
10.1016-j.isci.2025.113771:1-s2.0-S2589004225020322-mmc3.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S2589004225020322-mmc3.xlsx,https://linkinghub.elsevier.com/retrieve/pii/S2589004225020322,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB90261,10.1016/j.isci.2025.113771,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,171355,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,,
10.1016-j.isci.2025.113771:1-s2.0-S2589004225020322-mmc4.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S2589004225020322-mmc4.xlsx,https://linkinghub.elsevier.com/retrieve/pii/S2589004225020322,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc4.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB90261,10.1016/j.isci.2025.113771,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,37836,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc4.xlsx,,
10.1016-j.isci.2025.113771:article.html,article_html,article source,https://linkinghub.elsevier.com/retrieve/pii/S2589004225020322,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/article.html,archived,Elsevier article landing page is archived as the accessible paper surface.,PRJEB90261,10.1016/j.isci.2025.113771,text/html;charset=UTF-8,3000,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/article.html.gz,1229,gzip
10.1016-j.isci.2025.113771:crossref.json,paper_metadata_json,crossref metadata,https://api.crossref.org/works/10.1016/j.isci.2025.113771,adna/governance/source_library/papers/10.1016-j.isci.2025.113771/crossref.json,archived,Crossref metadata snapshot preserves DOI and title even when publisher downloads are blocked.,PRJEB90261,10.1016/j.isci.2025.113771,application/json,33493,,,
PRJEB90261:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90261&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB90261/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB90261,10.1016/j.isci.2025.113771,text/plain,25552,adna/governance/source_library/projects/PRJEB90261/archive_metadata.html.gz,3256,gzip
10.1016-j.xgen.2025.101099:1-s2.0-S2666979X25003556-mmc1.pdf,supplementary_pdf,curated supplementary asset 1-s2.0-S2666979X25003556-mmc1.pdf,https://linkinghub.elsevier.com/retrieve/pii/S2666979X25003556,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc1.pdf,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJNA1178732,10.1016/j.xgen.2025.101099,application/pdf,4083851,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc1.pdf,,
10.1016-j.xgen.2025.101099:1-s2.0-S2666979X25003556-mmc2.pdf,supplementary_pdf,curated supplementary asset 1-s2.0-S2666979X25003556-mmc2.pdf,https://linkinghub.elsevier.com/retrieve/pii/S2666979X25003556,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc2.pdf,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJNA1178732,10.1016/j.xgen.2025.101099,application/pdf,151024,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc2.pdf,,
10.1016-j.xgen.2025.101099:1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S2666979X25003556-mmc3.xlsx,https://linkinghub.elsevier.com/retrieve/pii/S2666979X25003556,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJNA1178732,10.1016/j.xgen.2025.101099,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,35396,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,35396,
10.1016-j.xgen.2025.101099:1-s2.0-S2666979X25003556-mmc4.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S2666979X25003556-mmc4.xlsx,https://linkinghub.elsevier.com/retrieve/pii/S2666979X25003556,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc4.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJNA1178732,10.1016/j.xgen.2025.101099,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,89638,adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc4.xlsx,,
