species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Felis catus,cat,PRJEB81815,prjeb81815:samea120246539,SAMEA120246539,DURcat07,DUR07,DURcat07,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246539 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row37 -> Table_S1!row34,ENA identifies SAMEA120246539 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DUR07; source chronology: Aeneolithic 4200-4100 cal BC.,final,,Durankulak,Bulgaria,43.70,28.54,6049-6149 BP,archaeological_context,archaeological_context_date,contextual_interval,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246540,SAMEA120246540,ECLYcat01,ECLY01,ECLYcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246540 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row38 -> Table_S1!row43,ENA identifies SAMEA120246540 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ECLY01; source chronology: 20AD (2.1%) 50AD / 60AD (93.3%) 210AD.,final,,Ecly,France,,,1740-1930 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246541,SAMEA120246541,FLUMcat02,FLUM02,FLUMcat02,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246541 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row39 -> Table_S1!row81,ENA identifies SAMEA120246541 as Felis catus (tax_id 9685). Exact workbook join FLUM02; source chronology: 600AD (2.7%) 620AD / 630AD (86.2%) 690AD / 740AD ( 6.6%) 780AD.,final,,"nuraghe Flumenelongu, Sardinia",Italy,,,1170-1350 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246542,SAMEA120246542,GLCAcat01,GLCA01,GLCAcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246542 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row41 -> Table_S1!row65,"ENA identifies SAMEA120246542 as Felis silvestris silvestris (tax_id 463207). Exact workbook join GLCA01; source chronology: 4778±24 BP (UBA-45133), 3634-3526  cal BC (Neolithic).",final,,"Glencurran Cave, Co. Clare",Ireland,,,5475-5583 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246543,SAMEA120246543,GRAcat01,GRA01,GRAcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246543 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row42 -> Table_S1!row91,ENA identifies SAMEA120246543 as Felis catus (tax_id 9685). Exact workbook join GRA01; source chronology: Late 15th-Early 16th cent AD.,final,,"Graffignano (Viterbo, Latium)",Italy,42.57,12.20,Late 15th-Early 16th cent AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246544,SAMEA120246544,GSAcat01,GSA01,GSAcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246544 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row45 -> Table_S1!row92,ENA identifies SAMEA120246544 as Felis silvestris lybica (tax_id 61377). Exact workbook join GSA01; source chronology: 340BC (3.9%) 320BC / 200BC (91.5%) 50BC.,final,,"Genoni Santu Antine, Sardinia",Italy,39.80,9.00,1999-2289 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,61377,Felis silvestris lybica,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246545,SAMEA120246545,HAIScat01,HAIS01,HAIScat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246545 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row47 -> Table_S1!row48,ENA identifies SAMEA120246545 as Felis catus (tax_id 9685). Exact workbook join HAIS01; source chronology: 800-1050 AD.,final,,"Haithabu, settlement area",Germany,,,900-1150 BP,archaeological_context,archaeological_context_date,contextual_interval,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246546,SAMEA120246546,HAIScat04,HAIS04,HAIScat04,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246546 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row48 -> Table_S1!row50,ENA identifies SAMEA120246546 as Felis catus (tax_id 9685). Exact workbook join HAIS04; source chronology: 800-1050 AD.,final,,"Haithabu, settlement area",Germany,,,900-1150 BP,archaeological_context,archaeological_context_date,contextual_interval,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246547,SAMEA120246547,HAIScat10,HAIS10,HAIScat10,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246547 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row49 -> Table_S1!row51,ENA identifies SAMEA120246547 as Felis catus (tax_id 9685). Exact workbook join HAIS10; source chronology: 800-1050 AD.,final,,"Haithabu, settlement area",Germany,,,900-1150 BP,archaeological_context,archaeological_context_date,contextual_interval,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246548,SAMEA120246548,IRTcat01,IRT01,IRTcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246548 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row51 -> Table_S1!row207,ENA identifies SAMEA120246548 as Felis catus (tax_id 9685). Exact workbook join IRT01; source chronology: 575AD (95.4%) 650AD.,final,,Iznik - Roman theatre,Turkey,40.42,29.72,1300-1375 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
