species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Felis catus,cat,PRJEB81815,prjeb81815:samea120246571,ROCcat02,archive_supplement_exact_join,direct_table_extracted,final,,3169-3359 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246571 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row85 -> Table_S1!row126,ENA identifies SAMEA120246571 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ROC02; source chronology: 1401 (90.3%) 1256 calBC / 1248 (5.1%) 1227 calBC.,normalized_interval,3169,3359,3264,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246572,ROCcat04,archive_supplement_exact_join,direct_table_extracted,final,,Medieval,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246572 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row86 -> Table_S1!row127,ENA identifies SAMEA120246572 as Felis catus (tax_id 9685). Exact workbook join ROC04; source chronology: Medieval.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246573,SAcat14,archive_supplement_exact_join,direct_table_extracted,final,,Early Byzantine,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246573 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row87 -> Table_S1!row215,ENA identifies SAMEA120246573 as Felis catus (tax_id 9685). Exact workbook join SA14; source chronology: Early Byzantine.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246574,SARcat01,archive_supplement_exact_join,direct_table_extracted,final,,Early Neolithic,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246574 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row88 -> Table_S1!row130,ENA identifies SAMEA120246574 as Felis silvestris silvestris (tax_id 463207). Exact workbook join SAR01; source chronology: Early Neolithic.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246575,SBRcat01,archive_supplement_exact_join,direct_table_extracted,final,,15/16th centuries,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246575 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row89 -> Table_S1!row17,ENA identifies SAMEA120246575 as Felis catus (tax_id 9685). Exact workbook join SBR01; source chronology: 15/16th centuries.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246576,SCATcat01,archive_supplement_exact_join,direct_table_extracted,final,,17-18th c AD,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246576 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row91 -> Table_S1!row132,ENA identifies SAMEA120246576 as Felis catus (tax_id 9685). Exact workbook join SCAT01; source chronology: 17-18th c AD.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246577,SDUCcat02,archive_supplement_exact_join,direct_table_extracted,final,,19th AD,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246577 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row92 -> Table_S1!row135,ENA identifies SAMEA120246577 as Felis catus (tax_id 9685). Exact workbook join SDUC02B; source chronology: 19th AD.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246578,TABcat02,archive_supplement_exact_join,direct_table_extracted,final,,4349-4649 BP,sample_owned_interval,archaeological_context_date,contextual_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246578 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row93 -> Table_S1!row192,"ENA identifies SAMEA120246578 as Felis silvestris silvestris (tax_id 463207). Exact workbook join TAB02B; source chronology: 2,700-2,400 BC (Phase III).",normalized_interval,4349,4649,4499,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246579,TERTcat03,archive_supplement_exact_join,direct_table_extracted,final,,4th-5th c AD,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246579 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row95 -> Table_S1!row144,ENA identifies SAMEA120246579 as Felis catus (tax_id 9685). Exact workbook join TERT03; source chronology: 4th-5th c AD.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246580,TONcat03,archive_supplement_exact_join,direct_table_extracted,final,,1820-1989 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246580 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row96 -> Table_S1!row25,ENA identifies SAMEA120246580 as Felis silvestris silvestris (tax_id 463207). Exact workbook join TON03; source chronology: 40BC (4.0%) 10BC / AD (91.4%) 130AD.,normalized_interval,1820,1989,1904,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246581,TRMRcat01,archive_supplement_exact_join,direct_table_extracted,final,,1730-1890 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246581 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row97 -> Table_S1!row18,ENA identifies SAMEA120246581 as Felis catus (tax_id 9685). Exact workbook join TRMR01B; source chronology: 60AD (95.4%) 220AD.,normalized_interval,1730,1890,1810,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246582,VIAcat04,archive_supplement_exact_join,direct_table_extracted,final,,1530-1700 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246582 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row98 -> Table_S1!row172,ENA identifies SAMEA120246582 as Felis catus (tax_id 9685). Exact workbook join VIA04; source chronology: 250AD (16.8%) 280AD / 330AD (78.6%) 420AD.,normalized_interval,1530,1700,1615,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246583,VIAcat06,archive_supplement_exact_join,direct_table_extracted,final,,1740-1930 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246583 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row99 -> Table_S1!row174,ENA identifies SAMEA120246583 as Felis catus (tax_id 9685). Exact workbook join VIA06a; source chronology: 20AD (95.4%) 210AD.,normalized_interval,1740,1930,1835,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246584,VINcat04,archive_supplement_exact_join,direct_table_extracted,final,,790-960 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246584 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row100 -> Table_S1!row179,ENA identifies SAMEA120246584 as Felis silvestris silvestris (tax_id 463207). Exact workbook join VIN04; source chronology: 990AD (49.5%) 1050AD / 1080AD (45.9%) 1160AD.,normalized_interval,790,960,875,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246585,46_Fsl,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246585 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row3,ENA identifies SAMEA120246585 as Felis silvestris lybica (tax_id 61377). Exact workbook join 46_Fsl; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246586,52_Fsl,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246586 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row4,ENA identifies SAMEA120246586 as Felis silvestris lybica (tax_id 61377). Exact workbook join 52_Fsl; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246587,53_Fsl,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246587 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row5,ENA identifies SAMEA120246587 as Felis silvestris lybica (tax_id 61377). Exact workbook join 53_Fsl; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246588,55_Fsl,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246588 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row6,ENA identifies SAMEA120246588 as Felis silvestris lybica (tax_id 61377). Exact workbook join 55_Fsl; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246589,66_Fss,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246589 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row7,ENA identifies SAMEA120246589 as Felis silvestris silvestris (tax_id 463207). Exact workbook join 66_Fss; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246590,78_Fss,archive_supplement_exact_join,direct_table_extracted,final,,modern,sample_owned_text_only,historical_or_recent_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246590 || science.adt2642_tables s1_to_s8.xlsx#Table_S4!row8,ENA identifies SAMEA120246590 as Felis silvestris silvestris (tax_id 463207). Exact workbook join 78_Fss; source chronology: modern.,text_only_unparsed,,,,modern_sampling,,Chronology comes from the recovered sample-owned source row.
