species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,locality_text,locality_resolution_status,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,site_name,municipality_name,region_name,country_name,broader_geography,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,review_note
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160866,SAMEA5160866,archive_project_sample_accession_anchor,archive_native,final,,Nivå,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160866 || Sheet1!row1214,ENA archive metadata identifies sample SAMEA5160866 as Sus scrofa (tax_id 9823). || AA014 | previous_extraction_code=GL307 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 11 | additional_sample_information=- | location=Nivå | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5400-4500 BC | source_mean_years_bp=6950 | period=Late Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,Nivå,,,Denmark,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160938,SAMEA5160938,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160938 || Sheet1!row470,"ENA archive metadata identifies sample SAMEA5160938 as Sus scrofa (tax_id 9823). || AA230 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA95UAN216, 988 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=450-650 AD | source_mean_years_bp=1450 | period=Early Byzantine | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160939,SAMEA5160939,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160939 || Sheet1!row471,"ENA archive metadata identifies sample SAMEA5160939 as Sus scrofa (tax_id 9823). || AA231 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA03DA167, 1193 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=450-650 AD | source_mean_years_bp=1450 | period=Early Byzantine | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160940,SAMEA5160940,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160940 || Sheet1!row473,"ENA archive metadata identifies sample SAMEA5160940 as Sus scrofa (tax_id 9823). || AA234 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA92N389, 400 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=300-450 AD | source_mean_years_bp=1625 | period=Late Roman | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160941,SAMEA5160941,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160941 || Sheet1!row474,"ENA archive metadata identifies sample SAMEA5160941 as Sus scrofa (tax_id 9823). || AA235 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA04AP45/3, 1301 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=300-450 AD | source_mean_years_bp=1625 | period=Late Roman | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160942,SAMEA5160942,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160942 || Sheet1!row476,"ENA archive metadata identifies sample SAMEA5160942 as Sus scrofa (tax_id 9823). || AA237 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA04AP70/2, 1315 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=300-450 AD | source_mean_years_bp=1625 | period=Late Roman | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160943,SAMEA5160943,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160943 || Sheet1!row1063,ENA archive metadata identifies sample SAMEA5160943 as Sus scrofa (tax_id 9823). || AA240 | previous_extraction_code=GL5 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=5431 | additional_sample_information=- | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=3u (3126-3098 BC cal) | source_mean_years_bp=5112 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160944,SAMEA5160944,archive_project_sample_accession_anchor,archive_native,final,,Birsmatten-Basisgrotte,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160944 || Sheet1!row1045,ENA archive metadata identifies sample SAMEA5160944 as Sus scrofa (tax_id 9823). || AA241 | previous_extraction_code=GL7 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=34 | additional_sample_information=M. Naturhistorisches Museum Bern | location=Birsmatten-Basisgrotte | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=OS (~6000-5500 BC cal) | source_mean_years_bp=7750 | period=Late Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,Birsmatten-Basisgrotte,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160945,SAMEA5160945,archive_project_sample_accession_anchor,archive_native,final,,Birsmatten-Basisgrotte,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160945 || Sheet1!row1047,ENA archive metadata identifies sample SAMEA5160945 as Sus scrofa (tax_id 9823). || AA243 | previous_extraction_code=GL9 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=35 | additional_sample_information=M. Naturhistorisches Museum Bern | location=Birsmatten-Basisgrotte | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=? | source_mean_years_bp=- | period=Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=unresolved_missing_source_mean | domestication_disposition=excluded_wild,Birsmatten-Basisgrotte,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160946,SAMEA5160946,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160946 || Sheet1!row2159,ENA archive metadata identifies sample SAMEA5160946 as Sus scrofa (tax_id 9823). || AA246 | previous_extraction_code=GL362 | mtdna_accession=- | source=Richard Redding | museum_or_sample_code=MZ 5876 | additional_sample_information=AS Kt. Zürich | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=3668-3661 cal. BC | source_mean_years_bp=5665 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160947,SAMEA5160947,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160947 || Sheet1!row1066,ENA archive metadata identifies sample SAMEA5160947 as Sus scrofa (tax_id 9823). || AA248 | previous_extraction_code=- | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=MZ 5866 | additional_sample_information=AS Kt. Zürich | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=4m (3668-3613 BC) | source_mean_years_bp=5641 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160948,SAMEA5160948,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160948 || Sheet1!row1068,ENA archive metadata identifies sample SAMEA5160948 as Sus scrofa (tax_id 9823). || AA250 | previous_extraction_code=- | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=MZ 3838 | additional_sample_information=AS Kt. Zürich | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2o (2605-2568 BC) | source_mean_years_bp=4587 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
