species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160895,SAMEA5160895,,,SAMEA5160895,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160895,ENA archive metadata identifies sample SAMEA5160895 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160896,SAMEA5160896,,,SAMEA5160896,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160896,ENA archive metadata identifies sample SAMEA5160896 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160897,SAMEA5160897,,,SAMEA5160897,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160897,ENA archive metadata identifies sample SAMEA5160897 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160898,SAMEA5160898,,,SAMEA5160898,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160898,ENA archive metadata identifies sample SAMEA5160898 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160899,SAMEA5160899,,,SAMEA5160899,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160899,ENA archive metadata identifies sample SAMEA5160899 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160900,SAMEA5160900,,,SAMEA5160900,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160900,ENA archive metadata identifies sample SAMEA5160900 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160901,SAMEA5160901,,,SAMEA5160901,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160901,ENA archive metadata identifies sample SAMEA5160901 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160902,SAMEA5160902,,,SAMEA5160902,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160902,ENA archive metadata identifies sample SAMEA5160902 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160903,SAMEA5160903,,,SAMEA5160903,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160903,ENA archive metadata identifies sample SAMEA5160903 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160904,SAMEA5160904,,,SAMEA5160904,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160904,ENA archive metadata identifies sample SAMEA5160904 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160905,SAMEA5160905,,,SAMEA5160905,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160905,ENA archive metadata identifies sample SAMEA5160905 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160906,SAMEA5160906,,,SAMEA5160906,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160906,ENA archive metadata identifies sample SAMEA5160906 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160907,SAMEA5160907,,,SAMEA5160907,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160907,ENA archive metadata identifies sample SAMEA5160907 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160908,SAMEA5160908,,,SAMEA5160908,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160908,ENA archive metadata identifies sample SAMEA5160908 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160909,SAMEA5160909,,,SAMEA5160909,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160909,ENA archive metadata identifies sample SAMEA5160909 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160910,SAMEA5160910,,,SAMEA5160910,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160910,ENA archive metadata identifies sample SAMEA5160910 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160911,SAMEA5160911,,,SAMEA5160911,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160911,ENA archive metadata identifies sample SAMEA5160911 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160912,SAMEA5160912,,,SAMEA5160912,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160912,ENA archive metadata identifies sample SAMEA5160912 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160913,SAMEA5160913,,,SAMEA5160913,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160913,ENA archive metadata identifies sample SAMEA5160913 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160914,SAMEA5160914,,,SAMEA5160914,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160914,ENA archive metadata identifies sample SAMEA5160914 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160915,SAMEA5160915,,,SAMEA5160915,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160915,ENA archive metadata identifies sample SAMEA5160915 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160916,SAMEA5160916,,,SAMEA5160916,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160916,ENA archive metadata identifies sample SAMEA5160916 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160917,SAMEA5160917,,,SAMEA5160917,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160917,ENA archive metadata identifies sample SAMEA5160917 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160918,SAMEA5160918,,,SAMEA5160918,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160918,ENA archive metadata identifies sample SAMEA5160918 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160919,SAMEA5160919,,,SAMEA5160919,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160919,ENA archive metadata identifies sample SAMEA5160919 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
