genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
Hum2.SG,6129,Norway_Mesolithic,"Hummervikholmen (Agder, Søgne nor)",Norway,58.064,7.7437,GüntherJakobssonPLoSBiol2018,,"7502-7325 calBCE (8703±27 BP) [R_Combine: TRa-954, TUa-1257, TRa-952, TUa-2106, TRa-951, TRa-953, TUa-2107)]",9364,51,9262,9466,9364,"7502-7325 calBCE (8703±27 BP) [R_Combine: TRa-954, TUa-1257, TRa-952, TUa-2106, TRa-951, TRa-953, TUa-2107)]",Shotgun,M,"1240k,ho"
CGG_2_107001.SG,117999,Norway_JarlsbergHerregaard_IA_LateGermanic,Jarlsberg Herregaard (Southern Norway/ Vestfold),Norway,59.29088516,10.38673557,McCollWillerslevBioRxiv2025,,500-1050 calCE (1175±275 BP),1107,261,585,1629,1107,500-1050 calCE (1175±275 BP),Shotgun,M,"1240k,ho"
VK387.SG,7442,Norway_Viking,"Jevnaker nor (Nor South, Viken, Oppland)",Norway,60.31,10.43,MargaryanWillerslevNature2020,,900-1100 CE,950,58,834,1066,950,900-1100 CE,Shotgun,F,"1240k,ho"
VK421.SG,7475,Norway_Viking,"Jevnaker nor (Nor South, Viken, Oppland)",Norway,60.31,10.43,MargaryanWillerslevNature2020,,900-1100 CE,950,58,834,1066,950,900-1100 CE,Shotgun,M,"1240k,ho"
CGG_2_107026.SG,118047,Norway_Joa_IA_LateGermanic,Joa (Central Norway/ Trøndelag),Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,"429-549 calCE (1461±60 BP, UCIAMS-282670)",1360,54,1252,1468,1360,"429-549 calCE (1461±60 BP, UCIAMS-282670)",Shotgun,F,"1240k,ho"
CGG_2_107027.SG,118049,Norway_Joa_IA,Joa (Central Norway/ Trøndelag),Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,"654-774 calCE (1236±60 BP, UCIAMS-282671)",1159,75,1009,1309,1159,"654-774 calCE (1236±60 BP, UCIAMS-282671)",Shotgun,F,"1240k,ho"
CGG_2_107028.SG,118051,Norway_Joa_IA_LateGermanic,Joa (Central Norway/ Trøndelag),Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,550-700 calCE (1325±75 BP),1225,75,1075,1375,1225,550-700 calCE (1325±75 BP),Shotgun,F,"1240k,ho"
CGG_2_107032.SG,118059,Norway_JoaNamsosM_IA_LateGermanic,"Joa, Namsos M (Central Norway/ Trøndelag)",Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,"652-774 calCE (1237±61 BP, UCIAMS-282672)",1159,76,1007,1311,1159,"652-774 calCE (1237±61 BP, UCIAMS-282672)",Shotgun,F,"1240k,ho"
CGG_2_107033.SG,118061,Norway_JoaNamsosM_IA_LateGermanic,"Joa, Namsos M (Central Norway/ Trøndelag)",Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,"645-772 calCE (1242±64 BP, UCIAMS-282673)",1162,77,1008,1316,1162,"645-772 calCE (1242±64 BP, UCIAMS-282673)",Shotgun,F,"1240k,ho"
CGG_2_107034.SG,118063,Norway_JoaNamsosM_IA_LateGermanic,"Joa, Namsos M (Central Norway/ Trøndelag)",Norway,64.65448,11.208485,McCollWillerslevBioRxiv2025,,"661-774 calCE (1232±56 BP, UCIAMS-289259)",1157,74,1009,1305,1157,"661-774 calCE (1232±56 BP, UCIAMS-289259)",Shotgun,F,"1240k,ho"
CGG_2_105645.SG,117661,Norway_Krakeroy_EBA,Kråkerøy (Southern Norway/ Viken),Norway,59.178756,10.919039,McCollWillerslevBioRxiv2025,,"1420-1220 calBCE (3266±95 BP, Rijksuniversiteit Groningen)",3503,114,3275,3731,3503,"1420-1220 calBCE (3266±95 BP, Rijksuniversiteit Groningen)",Shotgun,M,"1240k,ho"
VK529.SG,7580,Norway_Viking,"Leines (6/-) (Nordland, Steigen)",Norway,67.64,14.79,MargaryanWillerslevNature2020,,700-900 CE,1150,58,1034,1266,1150,700-900 CE,Shotgun,M,"1240k,ho"
VK386.SG,7441,Norway_Viking,"Lesja nor (Nor South, Innlandet, Oppland)",Norway,62.09,9.05,MargaryanWillerslevNature2020,,800-1100 CE,1000,87,826,1174,1000,800-1100 CE,Shotgun,M,"1240k,ho"
CGG_2_107010.SG,118017,Norway_Lund_IA,Lund (Northern Norway/ Nordland),Norway,67.985361,15.181212,McCollWillerslevBioRxiv2025,,600-800 calCE (1250±100 BP),1155,99,957,1353,1155,600-800 calCE (1250±100 BP),Shotgun,M,"1240k,ho"
CGG_2_107024.SG,118043,Norway_LundNamsosM_IA_LateGermanic,"Lund, Namsos M (Central Norway/ Trøndelag)",Norway,64.769002,11.596496,McCollWillerslevBioRxiv2025,,"682-878 calCE (1170±98 BP, UCIAMS-282669)",1091,105,881,1301,1091,"682-878 calCE (1170±98 BP, UCIAMS-282669)",Shotgun,M,"1240k,ho"
VK415.SG,7470,Norway_Viking,"Lunner nor (Nor South, Viken, Oppland)",Norway,60.29,10.63,MargaryanWillerslevNature2020,,700-1100 CE,1050,115,820,1280,1050,700-1100 CE,Shotgun,F,"1240k,ho"
VK523.SG,7574,Norway_IA,"Melem (Herstaen) (84/-) (Sør-Trøndelag, Bjugn)",Norway,63.7,9.75,MargaryanWillerslevNature2020,,1-1000 CE,1450,288,874,2026,1450,1-1000 CE,Shotgun,F,"1240k,ho"
CGG_2_107017.SG,118031,Norway_NordRollnes_IA,Nord-Rollnes (Central Norway/ Trøndelag),Norway,68.870339,17.045914,McCollWillerslevBioRxiv2025,,550-800 calCE (1275±125 BP),1172,121,930,1414,1172,550-800 calCE (1275±125 BP),Shotgun,M,"1240k,ho"
CGG_2_107019.SG,118033,Norway_NordRollnes_IA,Nord-Rollnes (Central Norway/ Trøndelag),Norway,68.870339,17.045914,McCollWillerslevBioRxiv2025,,1300-1100 calBCE (1275±125 BP),1172,121,930,1414,1172,1300-1100 calBCE (1275±125 BP),Shotgun,M,"1240k,ho"
VK548.SG,7599,Norway_Viking,"Nord-Trøndelag (Stjørdal, Kil søndre)",Norway,63.44,11.22,MargaryanWillerslevNature2020,,800-900 CE,1100,29,1042,1158,1100,800-900 CE,Shotgun,F,"1240k,ho"
VK518.SG,7568,Norway_Viking-1,"Nordland, (17/- Vågehamn) (Nordland, Værøy)",Norway,67.69,12.7,MargaryanWillerslevNature2020,,800-900 CE,1100,29,1042,1158,1100,800-900 CE,Shotgun,F,"1240k,ho"
VK113.SG,7207,Norway_Medieval-o,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,F,"1240k,ho"
VK114.SG,7208,Norway_Medieval,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,F,"1240k,ho"
VK116.SG,7209,Norway_Medieval,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,M,"1240k,ho"
VK117.SG,7210,Norway_Medieval,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,M,"1240k,ho"
VK118.SG,7211,Norway_Medieval,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,F,"1240k,ho"
VK124.SG,7215,Norway_Medieval,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,F,"1240k,ho"
VK125.SG,7216,Norway_Medieval-o,Public Library Site/Folkebibliotekstomten (Trondheim),Norway,63.43,10.39,MargaryanWillerslevNature2020,,1100-1300 CE,750,58,634,866,750,1100-1300 CE,Shotgun,U,"1240k,ho"
VK393.SG,7448,Norway_Viking,"Ringsaker nor (Nor South, Innlandet, Hedmark)",Norway,60.84,11,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,F,"1240k,ho"
VK448.SG,7500,Norway_Viking,"Ringsaker nor (Nor South, Innlandet, Hedmark)",Norway,60.84,11,MargaryanWillerslevNature2020,,700-1100 CE,1050,115,820,1280,1050,700-1100 CE,Shotgun,F,"1240k,ho"
CGG_2_107044.SG,118083,Norway_RjoaSola_LateRoman,"Rjoa, Sola (Western Norway/ Rogland)",Norway,58.900214,5.652246,McCollWillerslevBioRxiv2025,,325-400 calCE (1588±38 BP),1464,43,1378,1550,1464,325-400 calCE (1588±38 BP),Shotgun,F,"1240k,ho"
CGG_2_107029.SG,118053,Norway_RoyneOrlandetM_LateRoman,"Royne, Orlandet M (Central Norway/ Trøndelag)",Norway,63.715837,9.642296,McCollWillerslevBioRxiv2025,,300-400 calCE (1600±50 BP),1473,56,1361,1585,1473,300-400 calCE (1600±50 BP),Shotgun,F,"1240k,ho"
VK515.SG,7565,Norway_Viking,"Rønvik nedre (32/100, Rønvik) (Nordland, Bodø)",Norway,67.28,14.39,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,M,"1240k,ho"
