schema_version,species_latin_name,species_common_name,source_family,sample_namespace,locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,dating_basis,coordinate_confidence,datasets,sample_ids
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Fauskland (Central Norway/ Hitra, Trøndelag)",63.60579,14.85861,1,4235,4771,4503,4235-4771 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105916.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Følstad (Central Norway/ Trøndelag),63.84097,11.38678,1,1655,2019,1837,1655-2019 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105643.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Hamar nor (Nor South, Innlandet, Hedmark)",60.8,11.1,1,820,1280,1050,820-1280 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK420.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Holm, Bindal M (Northern Norway / Nordland)",65.171328,12.11521,1,1013,1293,1153,1013-1293 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107030.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Horvnes (Nordland, Alstahaug)",66,12.7,1,1723,1903,1813,1723-1903 BP,bp_mean_and_stddev,unknown,"1240k,ho",hvr009.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Hov (19/1, Løkta) (Nordland, Dønna)",66.18,12.72,1,1042,1158,1100,1042-1158 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK525.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Jarlsberg Herregaard (Southern Norway/ Vestfold),59.29088516,10.38673557,1,585,1629,1107,585-1629 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107001.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Kråkerøy (Southern Norway/ Viken),59.178756,10.919039,1,3275,3731,3503,3275-3731 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105645.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Leines (6/-) (Nordland, Steigen)",67.64,14.79,1,1034,1266,1150,1034-1266 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK529.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Lesja nor (Nor South, Innlandet, Oppland)",62.09,9.05,1,826,1174,1000,826-1174 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK386.SG
